pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
11 Com b,11 Com,2,1,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03000000000,0.32000000000,-0.32000000000,0,1.2900000000,0.0500000000,-0.0500000000,0,,,,,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,0,G8 III,4742.00,100.00,-100.00,0,19.000000,2.000000,-2.000000,0,2.700000,0.300000,-0.300000,0,-0.3500,0.0900,-0.0900,0,[Fe/H],12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000,1.92380000,-1.92380000,10.7104000,0.2197390,-0.2197390,2014-05-14,2008-01
11 Com b,11 Com,2,1,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.2100000000,0.0600000000,-0.0500000000,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2.600000,0.400000,-0.300000,0,,,,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000,1.92380000,-1.92380000,10.7104000,0.2197390,-0.2197390,2014-07-23,2011-08
11 Com b,11 Com,2,1,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,,,,,,,,,0.238000,0.007000,-0.007000,0,,,,,,,,,0,G8 III,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,-0.2600,0.1000,-0.1000,0,[Fe/H],12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,93.18460000,1.92380000,-1.92380000,10.7104000,0.2197390,-0.2197390,2023-09-19,2023-08
11 UMi b,11 UMi,1,1,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,0,,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,-0.0200,,,0,[Fe/H],15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000,1.97650000,-1.97650000,7.9538800,0.1248570,-0.1248570,2018-09-04,2017-03
11 UMi b,11 UMi,1,1,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22000000000,3.25000000000,-3.25000000000,0,1.5400000000,0.0700000000,-0.0700000000,0,,,,,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,0,K4 III,4340.00,70.00,-70.00,0,24.080000,1.840000,-1.840000,0,1.800000,0.250000,-0.250000,0,0.0400,0.0400,-0.0400,0,[Fe/H],15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000,1.97650000,-1.97650000,7.9538800,0.1248570,-0.1248570,2018-04-25,2009-10
11 UMi b,11 UMi,1,1,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.5100000000,0.0600000000,-0.0500000000,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1.700000,0.400000,-0.300000,0,,,,,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,125.32100000,1.97650000,-1.97650000,7.9538800,0.1248570,-0.1248570,2018-04-25,2011-08
14 And b,14 And,1,1,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84000000000,0.23000000000,-0.23000000000,0,0.8300000000,,,0,,,,,,,,,0.000000,,,0,,,,,,,,,0,K0 III,4813.00,20.00,-20.00,0,11.000000,1.000000,-1.000000,0,2.200000,0.100000,-0.200000,0,-0.2400,0.0300,-0.0300,0,[Fe/H],23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000,0.71400000,-0.71400000,13.2289000,0.1245010,-0.1245010,2014-05-14,2008-12
14 And b,14 And,1,1,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,,,,,,,,,0.000000,,,0,,,,,,,,,0,K0 III,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0,[Fe/H],23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000,0.71400000,-0.71400000,13.2289000,0.1245010,-0.1245010,2023-09-19,2023-08
14 And b,14 And,1,1,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,0.6800000000,0.0300000000,-0.0600000000,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1.200000,0.400000,-0.300000,0,,,,,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,75.43920000,0.71400000,-0.71400000,13.2289000,0.1245010,-0.1245010,2014-07-23,2011-08
14 Her b,14 Her,1,2,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002000000,2.50000000000,-2.50000000000,0,2.9300000000,0.0800000000,-0.0800000000,0,,,,,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,0,,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.900000,0.040000,-0.040000,0,0.4100,,,0,[Fe/H],16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000,0.00730000,-0.00730000,55.7363000,0.0225960,-0.0225960,2018-09-04,2017-03
