pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
CoRoTID 223977153 b,CoRoTID 223977153,1,1,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,6.71837,1e-05,-1e-05,0.0,0.071,0.001,-0.001,0.0,6.38913,0.67254,-0.56045,0.0,1.1,1.3,-0.8,0.0,,,,,132.26,36.74,-29.39,0.0,938.0,65.0,-52.0,0.0,0,G0 VI,5970.0,100.0,-100.0,0.0,0.79,0.08,-0.09,0.0,1.08,0.08,-0.07,0.0,0.0,0.2,-0.2,0.0,[Fe/H],06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,1.86373,203.48237,576.683,10.436,-10.436,1.70589,0.0311319,-0.0311319,2017-09-14,2018-01
EPIC 201595106 b,EPIC 201595106,1,2,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724,4e-05,-4e-05,0.0,0.0177,0.0003,-0.0003,0.0,1.565,0.079,-0.079,0.0,11.1,2.0,-2.0,0.0,0.0,,,0.0,2852.0,107.0,-107.0,0.0,2038.0,39.0,-39.0,0.0,0,,5679.0,60.0,-39.0,0.0,0.98,0.025,-0.025,0.0,0.958,0.048,-0.048,0.0,0.01,0.1,-0.1,0.0,[Fe/H],12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,63.35883,282.19917,232.1,2.706,-2.646,4.28034,0.0492937,-0.0492937,2025-01-29,2024-11
EPIC 220674823 b,EPIC 220674823,1,2,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,0.5713127,5.5e-06,-5.5e-06,0.0,0.01314,0.00032,-0.00034,0.0,1.676,0.037,-0.037,0.0,9.09,0.98,-0.98,0.0,0.0,,,0.0,4656.0,300.0,-274.0,0.0,2299.0,36.0,-35.0,0.0,0,,5578.0,46.0,-46.0,0.0,0.99,0.012,-0.012,0.0,0.913,0.024,-0.024,0.0,-0.005,0.059,-0.059,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2025-02-24,2024-03
EPIC 220674823 b,EPIC 220674823,1,2,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.571292,1.2e-05,-1.2e-05,0.0,0.01326,0.00028,-0.00023,0.0,1.725,0.039,-0.039,0.0,8.77,1.0,-0.94,0.0,0.0,,,0.0,4670.0,300.0,-300.0,0.0,2300.0,36.0,-36.0,0.0,0,,5532.0,62.0,-62.0,0.0,0.988,0.011,-0.011,0.0,0.95,0.06,-0.048,0.0,0.11,0.05,-0.05,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2023-04-17,2023-04
EPIC 220674823 b,EPIC 220674823,1,2,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,0.571336,2e-05,-2e-05,0.0,0.01312,0.00014,-0.00014,0.0,1.82,0.2,-0.14,0.0,8.57,4.64,-2.8,0.0,,,,,4293.0,483.0,-483.0,0.0,2063.0,58.0,-58.0,0.0,0,,5496.0,46.0,-46.0,0.0,0.95,0.05,-0.05,0.0,0.92,0.03,-0.03,0.0,0.06,0.03,-0.03,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2018-10-24,2017-06
EPIC 220674823 c,EPIC 220674823,1,2,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,13.3387,0.0018,-0.0018,0.0,0.1071,0.0015,-0.0015,0.0,2.77,0.37,-0.23,0.0,1.3,1.6,-1.6,0.0,,,,,64.0,7.0,-7.0,0.0,722.0,20.0,-20.0,0.0,0,,5496.0,46.0,-46.0,0.0,0.95,0.05,-0.05,0.0,0.92,0.03,-0.03,0.0,0.06,0.03,-0.03,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2018-10-24,2017-06
EPIC 220674823 c,EPIC 220674823,1,2,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,13.3397,0.00096,-0.00096,0.0,0.1083,0.0023,-0.0018,0.0,2.836,0.086,-0.073,0.0,2.12,0.58,-0.57,0.0,0.13,,,1.0,70.0,4.5,-4.5,0.0,805.0,12.0,-12.0,0.0,0,,5532.0,62.0,-62.0,0.0,0.988,0.011,-0.011,0.0,0.95,0.06,-0.048,0.0,0.11,0.05,-0.05,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2023-04-17,2023-04
EPIC 220674823 c,EPIC 220674823,1,2,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,13.33989,0.00068,-0.0007,0.0,0.1073,0.0026,-0.0027,0.0,2.84,0.1,-0.08,0.0,1.72,0.66,-0.58,0.0,0.17,0.11,-0.11,0.0,70.0,5.0,-4.0,0.0,804.0,13.0,-12.0,0.0,0,,5578.0,46.0,-46.0,0.0,0.99,0.012,-0.012,0.0,0.913,0.024,-0.024,0.0,-0.005,0.059,-0.059,0.0,[Fe/H],00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,244.59,3.044,-2.972,4.06029,0.0498984,-0.0498984,2025-02-24,2024-03
EPIC 229004835 b,EPIC 229004835,1,1,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,16.141132,1.9e-05,-1.9e-05,0.0,0.1237,0.0017,-0.0017,0.0,2.332,0.08,-0.094,0.0,4.49,0.92,-0.81,0.0,0.23,,,1.0,69.7,3.7,-3.7,0.0,804.0,10.0,-10.0,0.0,0,,5868.0,60.0,-60.0,0.0,0.999,0.008,-0.008,0.0,0.97,0.04,-0.04,0.0,-0.12,0.05,-0.05,0.0,[Fe/H],12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,60.81426,289.77763,121.971,0.879,-0.866,8.17036,0.0582184,-0.0582184,2023-05-03,2023-04
EPIC 246851721 b,EPIC 246851721,2,1,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,6.180235,1.4e-05,-1.4e-05,0.0,0.07229,0.00074,-0.00075,0.0,11.780659,0.493196,-0.493196,0.0,3.1,1.3,-1.3,0.0,,,,,642.0,30.0,-29.0,0.0,1401.0,16.0,-16.0,0.0,0,F5 V,6202.0,52.0,-50.0,0.0,1.586,0.034,-0.033,0.0,1.317,0.041,-0.04,0.0,0.141,0.082,-0.085,0.0,[Fe/H],05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,-12.64088,186.97531,372.632,19.456,-17.644,2.66391,0.130014,-0.130014,2019-12-02,2018-12
